rank,tier,name,url,gold,silver,bronze,points,country,region,city,occupation,organization,YM,name_id,rank_name_id,latest_rank
1,grandmaster,Dieter,https://www.kaggle.com/christofhenkel,31,13,3,204111,Germany,Bavaria,Munich,Deep Learning Data Scientist,Nvidia,2022-11,Dieter (christofhenkel),[Rank: 1] Dieter (christofhenkel),1.0
2,grandmaster,bestfitting,https://www.kaggle.com/bestfitting,38,13,1,195453,UNKOWN,UNKOWN,UNKOWN,UNKOWN,UNKOWN,2022-11,bestfitting (bestfitting),[Rank: 2] bestfitting (bestfitting),2.0
3,grandmaster,Psi,https://www.kaggle.com/philippsinger,28,7,0,189655,Austria,Vienna,Vienna,Senior Principal Data Scientist,H2O.AI,2022-11,Psi (philippsinger),[Rank: 3] Psi (philippsinger),3.0
4,grandmaster,Qishen Ha,https://www.kaggle.com/haqishen,19,8,2,163431,Japan,Tokyo,Tokyo,Principal Data Scientist,H2O.ai,2022-11,Qishen Ha (haqishen),[Rank: 4] Qishen Ha (haqishen),4.0
5,grandmaster,Guanshuo Xu,https://www.kaggle.com/wowfattie,24,22,2,161009,United States,New York,New York,Data Scientist,H2O.ai,2022-11,Guanshuo Xu (wowfattie),[Rank: 5] Guanshuo Xu (wowfattie),5.0
6,grandmaster,hyd,https://www.kaggle.com/hydantess,6,3,0,127468,China,Zhejiang,Hangzhou,UNKOWN,UNKOWN,2022-11,hyd (hydantess),[Rank: 6] hyd (hydantess),6.0
7,grandmaster,Ilu,https://www.kaggle.com/ilu000,17,7,3,111440,Germany,North Rhine-Westphalia,Cologne,Principal Data Scientist,H2O.AI,2022-11,Ilu (ilu000),[Rank: 7] Ilu (ilu000),7.0
8,grandmaster,Giba,https://www.kaggle.com/titericz,61,47,31,107292,Brazil,State of Paraná,Curitiba,RAPIDS,NVIDIA,2022-11,Giba (titericz),[Rank: 8] Giba (titericz),8.0
9,grandmaster,Selim Seferbekov,https://www.kaggle.com/selimsef,14,3,1,107270,Belarus,Minsk Region,Minsk,Machine Learning Engineer,Mapbox,2022-11,Selim Seferbekov (selimsef),[Rank: 9] Selim Seferbekov (selimsef),9.0
10,grandmaster,khyeh,https://www.kaggle.com/khyeh0719,12,26,7,106409,Taiwan,UNKOWN,Hsinchu,MLE,JCV,2022-11,khyeh (khyeh0719),[Rank: 10] khyeh (khyeh0719),10.0
11,grandmaster,CPMP,https://www.kaggle.com/cpmpml,24,26,4,105313,France,UNKOWN,UNKOWN,RAPIDS and deep learning,NVIDIA,2022-11,CPMP (cpmpml),[Rank: 11] CPMP (cpmpml),11.0
12,grandmaster,tascj,https://www.kaggle.com/tascj0,10,8,3,94373,China,Zhejiang,Hangzhou, , ,2022-11,tascj (tascj0),[Rank: 12] tascj (tascj0),12.0
13,grandmaster,Chris Deotte,https://www.kaggle.com/cdeotte,17,19,8,92280,United States,California,San Diego,Data Scientist & Researcher,Nvidia,2022-11,Chris Deotte (cdeotte),[Rank: 13] Chris Deotte (cdeotte),13.0
14,grandmaster,nvnn,https://www.kaggle.com/nvnnghia,12,8,4,91565,Vietnam,Da Nang,Da Nang,UNKOWN,UNKOWN,2022-11,nvnn (nvnnghia),[Rank: 14] nvnn (nvnnghia),14.0
15,grandmaster,gezi,https://www.kaggle.com/goldenlock,5,1,0,87238,China,Beijing,Beijing,Former SDE,"Nvidia,Baidu,Meituan,Sogou",2022-11,gezi (goldenlock),[Rank: 15] gezi (goldenlock),15.0
16,grandmaster,Ahmet Erdem,https://www.kaggle.com/aerdem4,21,25,5,82995,Turkey,İstanbul,İstanbul,NPC,a low-cost simulation,2022-11,Ahmet Erdem (aerdem4),[Rank: 16] Ahmet Erdem (aerdem4),16.0
17,grandmaster,Shujun,https://www.kaggle.com/shujun717,6,6,3,79842,United States,Texas,College Station,PhD student,Texas A&M University,2022-11,Shujun (shujun717),[Rank: 17] Shujun (shujun717),17.0
18,master,Tim Riggins,https://www.kaggle.com/timriggins,3,10,5,78072,United States,Kansas,Dillon,Drinker,Riggins' Rigs,2022-11,Tim Riggins (timriggins),[Rank: 18] Tim Riggins (timriggins),18.0
19,grandmaster,charmq,https://www.kaggle.com/charmq,8,4,3,77982,Japan,Tokyo,Tokyo,Engineer,Preferred Networks,2022-11,charmq (charmq),[Rank: 19] charmq (charmq),19.0
20,master,Nischay Dhankhar,https://www.kaggle.com/nischaydnk,5,21,6,77475,India,Haryana,Gurugram,Undergraduate,"Netaji Subash University Of Technology, Delhi",2022-11,Nischay Dhankhar (nischaydnk),[Rank: 20] Nischay Dhankhar (nischaydnk),20.0
21,grandmaster,takuoko,https://www.kaggle.com/takuok,10,11,11,77225,Japan,Tokyo,Tokyo,DataScientist,Rist. Z by HP & NVIDIA Data Science Global Ambassador,2022-11,takuoko (takuok),[Rank: 21] takuoko (takuok),21.0
22,grandmaster,daishu,https://www.kaggle.com/daishu,9,6,1,73885,China,Fujian,Xiamen,Exploring neural networks,UNKOWN,2022-11,daishu (daishu),[Rank: 22] daishu (daishu),22.0
23,master,Manuel Campos,https://www.kaggle.com/coreacasa,2,30,25,73853,Spain,Community of Madrid,Madrid,Kaggler at None,UNKOWN,2022-11,Manuel Campos (coreacasa),[Rank: 23] Manuel Campos (coreacasa),23.0
24,grandmaster,Theo Viel,https://www.kaggle.com/theoviel,11,14,3,73137,France,Île-de-France,Paris,Applied ML,NVIDIA,2022-11,Theo Viel (theoviel),[Rank: 24] Theo Viel (theoviel),24.0
25,expert,Kirderf,https://www.kaggle.com/kirderf,0,14,29,72832,Sweden,Stockholm County,Stockholm,UNKOWN,UNKOWN,2022-11,Kirderf (kirderf),[Rank: 25] Kirderf (kirderf),25.0
26,grandmaster,Bo,https://www.kaggle.com/boliu0,17,8,4,71555,United States,New York,New York,Deep Learning,NVIDIA,2022-11,Bo (boliu0),[Rank: 26] Bo (boliu0),26.0
27,expert,Taro,https://www.kaggle.com/taroz1461,2,0,0,70151,Japan,Tokyo,Tokyo,UNKOWN,UNKOWN,2022-11,Taro (taroz1461),[Rank: 27] Taro (taroz1461),27.0
28,grandmaster,sheep,https://www.kaggle.com/steamedsheep,9,10,4,69592,China,Guangdong Province,Guangzhou,^ ^,403,2022-11,sheep (steamedsheep),[Rank: 28] sheep (steamedsheep),28.0
29,grandmaster,Takoi,https://www.kaggle.com/takoihiraokazu,9,7,2,67942,Japan,Fukuoka,Fukuoka,Data Scientist,Rist,2022-11,Takoi (takoihiraokazu),[Rank: 29] Takoi (takoihiraokazu),29.0
30,grandmaster,Tom,https://www.kaggle.com/tikutiku,5,13,1,67145,Japan,Nagano,Ueda,Data Scientist,Sprout.ai,2022-11,Tom (tikutiku),[Rank: 30] Tom (tikutiku),30.0
31,master,Kɔuq Wang,https://www.kaggle.com/gmhost,4,23,11,66104,China,Guangdong Province,Shenzhen,None,None,2022-11,Kɔuq Wang (gmhost),[Rank: 31] Kɔuq Wang (gmhost),31.0
32,master,Mathurin Aché,https://www.kaggle.com/mathurinache,7,37,48,65403,France,Pays de la Loire,Orvault,Data Scientist,Prevision.io,2022-11,Mathurin Aché (mathurinache),[Rank: 32] Mathurin Aché (mathurinache),32.0
33,grandmaster,Yauhen Babakhin,https://www.kaggle.com/ybabakhin,11,4,6,64475,Czechia,Prague,Prague,Principal Data Scientist,H2O.ai,2022-11,Yauhen Babakhin (ybabakhin),[Rank: 33] Yauhen Babakhin (ybabakhin),33.0
34,grandmaster,Μαριος Μιχαηλιδης KazAnova,https://www.kaggle.com/kazanova,41,59,42,62318,Greece,UNKOWN,Volos,Data Scientist,H2O ai,2022-11,Μαριος Μιχαηλιδης KazAnova (kazanova),[Rank: 34] Μαριος Μιχαηλιδης KazAnova (kazanova),34.0
35,master,KKY,https://www.kaggle.com/evilpsycho42,2,6,4,62189,China,Sichuan,Chengdu,Mentor,BoolArt,2022-11,KKY (evilpsycho42),[Rank: 35] KKY (evilpsycho42),35.0
36,grandmaster,nyanp,https://www.kaggle.com/nyanpn,5,7,2,62059,Japan,Osaka,Osaka,Engineer,Japan,2022-11,nyanp (nyanpn),[Rank: 36] nyanp (nyanpn),36.0
37,grandmaster,Darragh,https://www.kaggle.com/darraghdog,17,11,2,61907,Ireland,County Dublin,Dublin,AI Researcher,DoubleYard,2022-11,Darragh (darraghdog),[Rank: 37] Darragh (darraghdog),37.0
38,grandmaster,Dmytro Poplavskiy,https://www.kaggle.com/dmytropoplavskiy,12,1,0,61196,Australia,Queensland,Brisbane,Software Engineer,Topcon Positioning Systems,2022-11,Dmytro Poplavskiy (dmytropoplavskiy),[Rank: 38] Dmytro Poplavskiy (dmytropoplavskiy),38.0
39,master,Shihao Shao,https://www.kaggle.com/louieshao,3,3,0,61196,China,Beijing,Beijing,Student,"School of Basic Medical Sciences, Peking University",2022-11,Shihao Shao (louieshao),[Rank: 39] Shihao Shao (louieshao),39.0
40,grandmaster,Limerobot,https://www.kaggle.com/limerobot,12,7,1,57695,South Korea,Gyeonggi-do,Seongnam-si,Data Scientist,UPSTAGE AI,2022-11,Limerobot (limerobot),[Rank: 40] Limerobot (limerobot),40.0
41,grandmaster,DungNB,https://www.kaggle.com/nguyenbadung,6,12,5,56825,Vietnam,Hanoi,Hanoi,Data Scientist,UNKOWN,2022-11,DungNB (nguyenbadung),[Rank: 41] DungNB (nguyenbadung),41.0
42,grandmaster,Young for you,https://www.kaggle.com/mahluo,6,15,7,56697,China,Sichuan,Chengdu,master,SCU,2022-11,Young for you (mahluo),[Rank: 42] Young for you (mahluo),42.0
43,master,Volodymyr,https://www.kaggle.com/vladimirsydor,4,9,5,55924,Ukraine,UNKOWN,Kyiv,Deep Learning engineer,Respeecher,2022-11,Volodymyr (vladimirsydor),[Rank: 43] Volodymyr (vladimirsydor),43.0
44,grandmaster,Victor Durnov,https://www.kaggle.com/victorsd,8,9,4,55733,Russia,UNKOWN,UNKOWN,UNKOWN,UNKOWN,2022-11,Victor Durnov (victorsd),[Rank: 44] Victor Durnov (victorsd),44.0
45,grandmaster,Ian Pan,https://www.kaggle.com/vaillant,8,8,0,53726,United States,Massachusetts,Boston,Radiology Resident,Brigham & Women's Hospital,2022-11,Ian Pan (vaillant),[Rank: 45] Ian Pan (vaillant),45.0
46,grandmaster,senkin13,https://www.kaggle.com/senkin13,8,7,4,53596,Japan,Tokyo,Tokyo,Data Scientist,DataRobot Japan,2022-11,senkin13 (senkin13),[Rank: 46] senkin13 (senkin13),46.0
47,grandmaster,KS,https://www.kaggle.com/ks2019,5,17,4,53400,United States,California,Menlo Park,AI Resident,Meta,2022-11,KS (ks2019),[Rank: 47] KS (ks2019),47.0
48,master,Nanashi,https://www.kaggle.com/jesucristo,2,24,14,53356,Germany,Bavaria,Munich,Alchemist,H2O.ai,2022-11,Nanashi (jesucristo),[Rank: 48] Nanashi (jesucristo),48.0
49,grandmaster,tkm2261,https://www.kaggle.com/tkm2261,7,6,4,52925,Japan,UNKOWN,UNKOWN,CS PhD student,UCIrvine,2022-11,tkm2261 (tkm2261),[Rank: 49] tkm2261 (tkm2261),49.0
50,grandmaster,(⊙﹏⊙),https://www.kaggle.com/wht1996,5,2,3,52815,China,Zhejiang,Hangzhou,UNKOWN,UNKOWN,2022-11,(⊙﹏⊙) (wht1996),[Rank: 50] (⊙﹏⊙) (wht1996),50.0
51,grandmaster,dott,https://www.kaggle.com/dott1718,13,7,2,52814,Austria,Vienna,Vienna,Senior Data Scientist,H2O.ai,2022-11,dott (dott1718),[Rank: 51] dott (dott1718),51.0
52,master,ishikei,https://www.kaggle.com/amanatsu,4,7,4,52800,Japan,Ibaraki,Tsukuba,ML Engineer,Rist Inc.,2022-11,ishikei (amanatsu),[Rank: 52] ishikei (amanatsu),52.0
53,expert,Qinghua Cui,https://www.kaggle.com/qinghuacui2022,2,0,0,52341,China,Beijing,Beijing,Professor,Peking University Health Science Center,2022-11,Qinghua Cui (qinghuacui2022),[Rank: 53] Qinghua Cui (qinghuacui2022),53.0
54,grandmaster,Kramarenko Vladislav,https://www.kaggle.com/vlomme,5,4,2,51905,Russia,UNKOWN,Saint Petersburg,-,-,2022-11,Kramarenko Vladislav (vlomme),[Rank: 54] Kramarenko Vladislav (vlomme),54.0
55,grandmaster,YoonSoo,https://www.kaggle.com/harangdev,6,6,1,51668,South Korea,Seoul,Seoul,AI Research Engineer,UNKOWN,2022-11,YoonSoo (harangdev),[Rank: 55] YoonSoo (harangdev),55.0
56,grandmaster,currypurin,https://www.kaggle.com/currypurin,5,8,6,51176,Japan,Tokyo,Tokyo,kaggler,data-refinement,2022-11,currypurin (currypurin),[Rank: 56] currypurin (currypurin),56.0
57,master,Eduardo Peynetti,https://www.kaggle.com/eduardopeynetti,2,3,0,50805,France,Île-de-France,Paris,Quantitative Researcher,³,2022-11,Eduardo Peynetti (eduardopeynetti),[Rank: 57] Eduardo Peynetti (eduardopeynetti),57.0
